Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate
2015,Unemployment By Race,,Asian,"Garrett County, Maryland",0,0
2017,Unemployment By Race,,Asian,"Garrett County, Maryland",0,0
2016,Unemployment By Race,,Asian,"Garrett County, Maryland",0,0
2018,Unemployment By Race,,Asian,"Garrett County, Maryland",0,0
2019,Unemployment By Race,,Asian,"Garrett County, Maryland",0,0
2016,Unemployment By Race,,White,"Garrett County, Maryland",5.6,0.056
2015,Unemployment By Race,,White,"Garrett County, Maryland",7.1,0.071
2017,Unemployment By Race,,White,"Garrett County, Maryland",4.7,0.047
2018,Unemployment By Race,,White,"Garrett County, Maryland",4,0.04
2019,Unemployment By Race,,White,"Garrett County, Maryland",3.8,0.038
2015,Unemployment By Race,,Black,"Garrett County, Maryland",0,0
2017,Unemployment By Race,,Black,"Garrett County, Maryland",0,0
2016,Unemployment By Race,,Black,"Garrett County, Maryland",0,0
2018,Unemployment By Race,,Black,"Garrett County, Maryland",0,0
2019,Unemployment By Race,,Black,"Garrett County, Maryland",0,0
2015Q3,TANF Workers,,,"Harford County, Maryland",132,
2015Q4,TANF Workers,,,"Harford County, Maryland",124,
2015Q3,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.172461098,0.001724611
2015Q4,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.158551555,0.001585516
2016Q1,TANF Workers,,,"Harford County, Maryland",75,
2016Q2,TANF Workers,,,"Harford County, Maryland",94,
2016Q3,TANF Workers,,,"Harford County, Maryland",102,
2016Q4,TANF Workers,,,"Harford County, Maryland",106,
2016Q1,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.099398309,0.000993983
2016Q2,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.117350378,0.001173504
2016Q3,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.128340631,0.001283406
2016Q4,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.128675132,0.001286751
2017Q1,TANF Workers,,,"Harford County, Maryland",69,
2017Q2,TANF Workers,,,"Harford County, Maryland",90,
2017Q3,TANF Workers,,,"Harford County, Maryland",105,
2017Q4,TANF Workers,,,"Harford County, Maryland",122,
2017Q1,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.087391552,0.000873916
2017Q2,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.110821061,0.001108211
2017Q3,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.128829614,0.001288296
2017Q4,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.143698469,0.001436985
2018Q1,TANF Workers,,,"Harford County, Maryland",89,
2018Q2,TANF Workers,,,"Harford County, Maryland",107,
2018Q3,TANF Workers,,,"Harford County, Maryland",94,
2018Q4,TANF Workers,,,"Harford County, Maryland",108,
2018Q1,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.109546551,0.001095466
2018Q2,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.13066468,0.001306647
2018Q3,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.113791809,0.001137918
2018Q4,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.127504339,0.001275043
2019Q1,TANF Workers,,,"Harford County, Maryland",70,
2019Q2,TANF Workers,,,"Harford County, Maryland",81,
2019Q1,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.085245263,0.000852453
2019Q2,Percent of Workers in TANF (%),,,"Harford County, Maryland",0.098297392,0.000982974
2016Q3,TANF Participants in Workforce Service ,,,"Harford County, Maryland",12,
2016Q4,TANF Participants in Workforce Service ,,,"Harford County, Maryland",6,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",3.582089552,0.035820896
2016Q4,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",1.290322581,0.012903226
2017Q1,TANF Participants in Workforce Service ,,,"Harford County, Maryland",3,
2017Q2,TANF Participants in Workforce Service ,,,"Harford County, Maryland",4,
2017Q3,TANF Participants in Workforce Service ,,,"Harford County, Maryland",14,
2017Q4,TANF Participants in Workforce Service ,,,"Harford County, Maryland",4,
2017Q1,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",0.479233227,0.004792332
2017Q2,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",0.732600733,0.007326007
2017Q3,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",2.190923318,0.021909233
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",0.928074246,0.009280742
2018Q1,TANF Participants in Workforce Service ,,,"Harford County, Maryland",2,
2018Q2,TANF Participants in Workforce Service ,,,"Harford County, Maryland",6,
2018Q3,TANF Participants in Workforce Service ,,,"Harford County, Maryland",4,
2018Q4,TANF Participants in Workforce Service ,,,"Harford County, Maryland",5,
2018Q1,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",0.4784689,0.004784689
2018Q2,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",1.395348837,0.013953488
2018Q3,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",1.055408971,0.01055409
2018Q4,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",1.265822785,0.012658228
2019Q1,TANF Participants in Workforce Service ,,,"Harford County, Maryland",8,
2019Q1,Percent of Workforce Service participants in TANF (%),,,"Harford County, Maryland",1.6563147,0.016563147
2017,SNAP Recipient Workers,,,"Harford County, Maryland",9293,
2018,SNAP Recipient Workers,,,"Harford County, Maryland",8770,
2019,SNAP Recipient Workers,,,"Harford County, Maryland",8839,
2020,SNAP Recipient Workers,,,"Harford County, Maryland",8450,
2017,SNAP Recipient Workers by Percentage,,,"Harford County, Maryland",0.036471,3.6471
2018,SNAP Recipient Workers by Percentage,,,"Harford County, Maryland",0.036774,3.6774
2019,SNAP Recipient Workers by Percentage,,,"Harford County, Maryland",0.036754,3.6754
2020,SNAP Recipient Workers by Percentage,,,"Harford County, Maryland",0.036705,3.6705
2015,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6387,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6388,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6464,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6911,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6679,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",120447,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",119988,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",120195,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",119174,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",119420,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",6226,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5941,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5885,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5731,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5189,
2016,Median Household Income,,,"Harford County, Maryland",81052,
2018,Median Household Income,,,"Harford County, Maryland",85942,
2015,Total Population,,,"Harford County, Maryland",248966,
2019,Median Household Income,,,"Harford County, Maryland",89147,
2017,Median Household Income,,,"Harford County, Maryland",83445,
2015,Median Household Income,,,"Harford County, Maryland",80465,
2016,Total Population,,,"Harford County, Maryland",249776,
2017,Total Population,,,"Harford County, Maryland",250132,
2015,Unemployment By Gender,,Male,"Harford County, Maryland",6,0.06
2019,Total Population,,,"Harford County, Maryland",252222,
2018,Total Population,,,"Harford County, Maryland",251025,
2016,Unemployment By Gender,,Male,"Harford County, Maryland",5.6,0.056
2018,Unemployment By Gender,,Male,"Harford County, Maryland",4.6,0.046
2017,Unemployment By Gender,,Male,"Harford County, Maryland",4.8,0.048
2019,Unemployment By Gender,,Male,"Harford County, Maryland",4,0.04
2015,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",1032,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",917,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",710,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",870,
2016,Unemployment By Race,,Hispanic,"Harford County, Maryland",4.8,0.048
2017,Unemployment By Race,,Hispanic,"Harford County, Maryland",5.1,0.051
2015,Unemployment By Race,,Hispanic,"Harford County, Maryland",6.9,0.069
2018,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",860,
2018,Unemployment By Race,,Hispanic,"Harford County, Maryland",4.5,0.045
2019,Unemployment By Race,,Hispanic,"Harford County, Maryland",4.9,0.049
2015,Unemployment By Gender,,Female,"Harford County, Maryland",5.4,0.054
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",44979,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",46741,
2016,Unemployment By Gender,,Female,"Harford County, Maryland",4.9,0.049
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1170,
2017,Unemployment By Gender,,Female,"Harford County, Maryland",4.3,0.043
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1091,
2018,Unemployment By Gender,,Female,"Harford County, Maryland",3.9,0.039
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",646,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",823,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1011,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5519,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5730,
2019,Unemployment By Gender,,Female,"Harford County, Maryland",3.3,0.033
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5470,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5202,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5611,
2015,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",25096,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",6806,
2016,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",24973,
2017,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",24097,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",6215,
2018,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",23558,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",5424,
2015,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1806,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",113641,
2016,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1611,
2019,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",23055,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",4885,
2017,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1582,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",113773,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",4324,
2018,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1558,
2019,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1388,
2015,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7454,
2016,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7337,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",114771,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",114289,
2017,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7159,
2018,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7340,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",115096,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",42214,
2019,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7293,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4339,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4493,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",42535,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4327,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4331,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1602,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1733,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",44131,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",3951,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1558,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1400,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1238,
2015,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5355,
2016,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5471,
2017,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5594,
2018,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",6051,
2019,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5969,
2015,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",3857,
2016,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4028,
2017,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4061,
2018,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4126,
2019,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4256,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",590,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",715,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",452,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",451,
2015,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2586,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",343,
2016,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2856,
2017,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2829,
2018,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2883,
2019,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2909,
2015,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",6.2,0.062
2016,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",5.7,0.057
2017,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",5,0.05
2018,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",4.7,0.047
2015,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",5.7,0.057
2019,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",4.2,0.042
2016,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",4.5,0.045
2017,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",4.2,0.042
2018,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",3,0.03
2019,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",1.7,0.017
2016,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33325,
2015,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33750,
2017,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33614,
2018,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33118,
2015,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1953,
2019,Employment Status By Education,Employed,Some College,"Harford County, Maryland",32840,
2017,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1458,
2016,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1799,
2018,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1290,
2019,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1057,
2015,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7678,
2016,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7627,
2017,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7563,
2018,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7768,
2019,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7929,
2015,Unemployment By Race,,Asian,"Harford County, Maryland",10.2,0.102
2016,Unemployment By Race,,Asian,"Harford County, Maryland",7.3,0.073
2017,Unemployment By Race,,Asian,"Harford County, Maryland",7.1,0.071
2018,Unemployment By Race,,Asian,"Harford County, Maryland",7.3,0.073
2019,Unemployment By Race,,Asian,"Harford County, Maryland",4.9,0.049
2015,Unemployment By Race,,White,"Harford County, Maryland",5.6,0.056
2016,Unemployment By Race,,White,"Harford County, Maryland",5.4,0.054
2017,Unemployment By Race,,White,"Harford County, Maryland",4.7,0.047
2018,Unemployment By Race,,White,"Harford County, Maryland",4.4,0.044
2019,Unemployment By Race,,White,"Harford County, Maryland",3.9,0.039
2015,Unemployment By Race,,Black,"Harford County, Maryland",10.5,0.105
2016,Unemployment By Race,,Black,"Harford County, Maryland",9.4,0.094
2017,Unemployment By Race,,Black,"Harford County, Maryland",8.6,0.086
2018,Unemployment By Race,,Black,"Harford County, Maryland",7.1,0.071
2019,Unemployment By Race,,Black,"Harford County, Maryland",5.5,0.055
2015Q3,TANF Workers,,,"Howard County, Maryland",127,
2015Q4,TANF Workers,,,"Howard County, Maryland",116,
2015Q3,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.072290528,0.000722905
2015Q4,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.066012235,0.000660122
2016Q1,TANF Workers,,,"Howard County, Maryland",89,
2016Q2,TANF Workers,,,"Howard County, Maryland",101,
2016Q3,TANF Workers,,,"Howard County, Maryland",111,
2016Q4,TANF Workers,,,"Howard County, Maryland",109,
2016Q1,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.051329373,0.000513294
2016Q2,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.057082142,0.000570821
2016Q3,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.061915705,0.000619157
2016Q4,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.061279333,0.000612793
2017Q1,TANF Workers,,,"Howard County, Maryland",96,
2017Q2,TANF Workers,,,"Howard County, Maryland",99,
2017Q3,TANF Workers,,,"Howard County, Maryland",83,
2017Q4,TANF Workers,,,"Howard County, Maryland",95,
2017Q1,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.054922736,0.000549227
2017Q2,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.055428338,0.000554283
2017Q3,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.046255789,0.000462558
2017Q4,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.053079149,0.000530791
2018Q1,TANF Workers,,,"Howard County, Maryland",65,
2018Q2,TANF Workers,,,"Howard County, Maryland",71,
2018Q3,TANF Workers,,,"Howard County, Maryland",73,
2018Q4,TANF Workers,,,"Howard County, Maryland",103,
2018Q1,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.036935386,0.000369354
2018Q2,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.039610147,0.000396101
2018Q3,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.039931952,0.00039932
2018Q4,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.057002446,0.000570024
2019Q1,TANF Workers,,,"Howard County, Maryland",90,
2019Q2,TANF Workers,,,"Howard County, Maryland",86,
2019Q1,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.049489162,0.000494892
2019Q2,Percent of Workers in TANF (%),,,"Howard County, Maryland",0.046797118,0.000467971
2016Q3,TANF Participants in Workforce Service ,,,"Howard County, Maryland",12,
2016Q4,TANF Participants in Workforce Service ,,,"Howard County, Maryland",6,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",3.582089552,0.035820896
2016Q4,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",1.290322581,0.012903226
2017Q1,TANF Participants in Workforce Service ,,,"Howard County, Maryland",3,
2017Q2,TANF Participants in Workforce Service ,,,"Howard County, Maryland",4,
2017Q3,TANF Participants in Workforce Service ,,,"Howard County, Maryland",14,
2017Q4,TANF Participants in Workforce Service ,,,"Howard County, Maryland",4,
2017Q1,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",0.479233227,0.004792332
2017Q2,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",0.732600733,0.007326007
2017Q3,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",2.190923318,0.021909233
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",0.928074246,0.009280742
2018Q1,TANF Participants in Workforce Service ,,,"Howard County, Maryland",2,
2018Q2,TANF Participants in Workforce Service ,,,"Howard County, Maryland",6,
2018Q3,TANF Participants in Workforce Service ,,,"Howard County, Maryland",4,
2018Q4,TANF Participants in Workforce Service ,,,"Howard County, Maryland",5,
2018Q1,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",0.4784689,0.004784689
2018Q2,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",1.395348837,0.013953488
2018Q3,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",1.055408971,0.01055409
2018Q4,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",1.265822785,0.012658228
2019Q1,TANF Participants in Workforce Service ,,,"Howard County, Maryland",8,
2019Q1,Percent of Workforce Service participants in TANF (%),,,"Howard County, Maryland",1.6563147,0.016563147
2017,SNAP Recipient Workers,,,"Howard County, Maryland",6914,
2018,SNAP Recipient Workers,,,"Howard County, Maryland",6364,
2019,SNAP Recipient Workers,,,"Howard County, Maryland",6580,
2020,SNAP Recipient Workers,,,"Howard County, Maryland",6244,
2017,SNAP Recipient Workers by Percentage,,,"Howard County, Maryland",0.027135,2.7135
2018,SNAP Recipient Workers by Percentage,,,"Howard County, Maryland",0.026685,2.6685
2019,SNAP Recipient Workers by Percentage,,,"Howard County, Maryland",0.027361,2.7361
2020,SNAP Recipient Workers by Percentage,,,"Howard County, Maryland",0.027123,2.7123
2015,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5313,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5477,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5790,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",6018,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",6130,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",155363,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",156390,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",157101,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",157334,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",158148,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5416,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5334,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5616,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5693,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5102,
2019,Median Household Income,,,"Howard County, Maryland",121160,
2016,Median Household Income,,,"Howard County, Maryland",113800,
2017,Median Household Income,,,"Howard County, Maryland",115576,
2015,Median Household Income,,,"Howard County, Maryland",110238,
2018,Median Household Income,,,"Howard County, Maryland",117730,
2015,Total Population,,,"Howard County, Maryland",304115,
2019,Total Population,,,"Howard County, Maryland",318855,
2016,Total Population,,,"Howard County, Maryland",308447,
2017,Total Population,,,"Howard County, Maryland",312495,
2018,Total Population,,,"Howard County, Maryland",315327,
2015,Unemployment By Gender,,Male,"Howard County, Maryland",4.7,0.047
2016,Unemployment By Gender,,Male,"Howard County, Maryland",4.3,0.043
2018,Unemployment By Gender,,Male,"Howard County, Maryland",3.4,0.034
2017,Unemployment By Gender,,Male,"Howard County, Maryland",3.8,0.038
2019,Unemployment By Gender,,Male,"Howard County, Maryland",3.5,0.035
2016,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",808,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",691,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",676,
2015,Unemployment By Race,,Hispanic,"Howard County, Maryland",4.5,0.045
2018,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",505,
2016,Unemployment By Race,,Hispanic,"Howard County, Maryland",6.5,0.065
2019,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",532,
2017,Unemployment By Race,,Hispanic,"Howard County, Maryland",6,0.06
2018,Unemployment By Race,,Hispanic,"Howard County, Maryland",5.6,0.056
2019,Unemployment By Race,,Hispanic,"Howard County, Maryland",5.5,0.055
2017,Unemployment By Gender,,Female,"Howard County, Maryland",3.9,0.039
2018,Unemployment By Gender,,Female,"Howard County, Maryland",3.5,0.035
2015,Unemployment By Gender,,Female,"Howard County, Maryland",4.4,0.044
2016,Unemployment By Gender,,Female,"Howard County, Maryland",4,0.04
2019,Unemployment By Gender,,Female,"Howard County, Maryland",3.2,0.032
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",6833,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",6221,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",5771,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",148530,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",5376,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",5524,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",92198,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",93650,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",150169,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",96974,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",95137,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",151330,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",2563,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",2109,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",1827,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",1966,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",151810,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",1884,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11408,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11741,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",152772,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11476,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11640,
